Year,Product line,Product type,Product,Order method type,Retailer country,Revenue,Planned revenue,Product cost,Quantity,Gross profit,Partners,Sifra,Continent
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,United States,315044.33,437477.15,158371.76,66385,156672.57,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Canada,13444.68,14313.48,6298.8,2172,7145.88,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Japan,181120.24,235236.64,89413.06,35696,91707.18,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,China,69608.15,100200.95,35326.25,15205,34281.9,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Singapore,30940.35,51619.47,16370.97,7833,14569.38,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Netherlands,74321.18,94421.52,36531.63,14328,37789.55,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Sweden,18474.15,30821.43,9774.93,4677,8699.22,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Finland,80890.34,117236.1,41021.31,17790,39869.03,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Denmark,31746.7,33325.63,14665.3,5057,17081.4,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,France,103244.26,138113.22,51200.76,20958,52043.5,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,United Kingdom,160227.13,220995.65,80307.11,33535,79920.02,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Telephone,Austria,67179.39,85399.81,32490.25,12959,34689.14,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,United States,181287.73,222735.41,88348.13,33799,92939.6,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Mexico,133617.26,169942.92,65215.05,25788,68402.21,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Korea,186696.56,238492.1,91891.37,36190,94805.19,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Singapore,118193.46,161665.88,59183.15,24532,59010.31,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Finland,72891.83,78361.69,34483.9,11891,38407.93,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Denmark,12469.92,13127.28,5776.8,1992,6693.12,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,France,96009.15,114692.36,46306.58,17404,49702.57,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Germany,137602.28,169692.5,66847.97,25750,70754.31,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,United Kingdom,11637.34,12250.81,5391.1,1859,6246.24,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Belgium,12843.9,13245.9,5829,2010,7014.9,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Italy,103089.33,131865.9,50526.78,20010,52562.55,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Sales visit,Spain,13036.14,13878.54,6107.4,2106,6928.74,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,United States,340867.26,407123.61,164590.44,61779,176276.82,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Canada,138986.22,171649.73,67560.23,26047,71425.99,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Mexico,20358.3,33964.86,10771.86,5154,9586.44,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Brazil,120190.31,156433.42,58980.88,23738,61209.43,American Retail Store,19009,South America
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Japan,64370.58,81860.98,31495.9,12422,32874.68,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Korea,74254.93,98184.41,36862.37,14899,37392.56,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,China,278106.13,348446.25,136239.21,52875,141866.92,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Singapore,17421.46,18728.78,8241.8,2842,9179.66,Abc Shoji K.K.,15904,Asia
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Netherlands,96692.34,115918.1,46776.32,17590,49916.02,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Sweden,49298.46,63224.46,24049.62,9594,25248.84,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Finland,78856.6,100537.04,38794.34,15256,40062.26,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Denmark,30853.1,44093.69,15535.34,6691,15317.76,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,France,91818.01,121196.69,45272.78,18391,46545.23,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Germany,70482.18,74427.46,32752.6,11294,37729.58,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,United Kingdom,168290.41,199446.35,80612.15,30265,87678.26,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Belgium,42871.8,56911.24,20957.14,8636,21914.66,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Austria,36562.75,45022.88,17574.77,6832,18987.98,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Italy,12875.2,13707.2,6032,2080,6843.2,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Web,Spain,108368.09,127219.95,51868.89,19305,56499.2,Abc Shoji K.K.,15904,Europe
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Canada,38011.56,40337.39,17750.9,6121,20260.66,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Mexico,26152.75,27842.75,12252.5,4225,13900.25,American Retail Store,19009,North America
2004,Camping Equipment,Cooking Gear,TrailChef Water Bag,Special,Japan,13234.22,14089.42,6200.2,2138,7034.02,Abc Shoji K.K.,15904,Asia
